Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
30/10/2013,Very serious,Fire/Explosion - Fire,,FERNANDA,7806025,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,YES
25/10/2013,Very serious,Fire/Explosion - Fire,,GRANDE COLONIA,9318527,Passenger ship - Passenger and Ro-Ro cargo,0,0,
18/10/2013,Very serious,Flooding/Foundering - Foundering,,RIAS BAIXAS UN,9233088,Fishing vessel - Liner,0,0,YES
03/10/2013,Very serious,Damage / loss of equipment,,ATAIR J,9296999,Cargo ship - Solid Cargo - Container Ship,1,0,
24/07/2013,Very serious,Loss of control - Loss of electrical power,,ASTRID,5027792,Passenger ship - Only passenger,0,0,
11/06/2013,Very serious,Fire/Explosion - Fire,,MISSISSIPPI STAR,9527623,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,1,0,
07/05/2013,Very serious,"Loss of control - Loss of propulsion power,Loss of control - Loss of directional control,Contact - Shore object",,Jolly Nero,7361233,Cargo ship - Solid Cargo - Container Ship,9,4,
08/04/2013,Very serious,"Flooding/Foundering - Foundering,Collision - With other ship,Collision - With other ship",,"Loic-Lucas,Ambassadeur",9361328,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Dredger",0,0,
27/03/2013,Very serious,Damage / loss of equipment,,Mousetrap,9674701,Recreational craft - Sailboat (aux. motor),1,0,
08/03/2013,Very serious,Damage / loss of equipment,,NORWEGIAN JADE,9304057,Passenger ship - Only passenger - International,1,0,
20/02/2013,Very serious,"Capsizing/Listing - Capsizing,Flooding/Foundering - Foundering,Loss of control - Loss of directional control",,"JSM,ARTEMIS V",7615036,"Service ship - Tug (Towing/Pushing),Cargo ship - Solid Cargo - General Cargo",1,0,
10/02/2013,Very serious,Damage / loss of equipment,,THOMSON MAJESTY,8814744,Passenger ship - Only passenger - International,5,3,
10/01/2013,Very serious,Flooding/Foundering - Flooding - Massive,,JETTE SAJ,9019016,Service ship - Dredger,0,0,
18/12/2012,Very serious,Loss of control - Loss of containment,,CASTOR,9444584,Service ship - Tug (Towing/Pushing),0,0,
29/11/2012,Very serious,"Grounding/stranding - Power,Flooding/Foundering - Flooding - Progressive",,Trans Agila,9113707,Cargo ship - Solid Cargo - General Cargo,0,0,
22/09/2012,Very serious,"Collision - With other ship,Collision - With other ship",,"La Sorrelina,C?tes de Bretagne",9171682,"Service ship - Dredger,Inland waterway vessel - Passenger",0,0,
01/09/2012,Very serious,Flooding/Foundering - Foundering,,CHLOE T,8656881,Fishing vessel - Trawler,0,0,
10/08/2012,Very serious,"Flooding/Foundering - Foundering,Capsizing/Listing - Listing",,AUDACIOUS,9191072,Fishing vessel - Trawler - Other trawler,0,0,YES
14/07/2012,Very serious,"Fire/Explosion - Fire,Fire/Explosion - Explosion",,MSC Flaminia,9225615,Cargo ship - Solid Cargo - Container Ship,3,2,YES
09/07/2012,Very serious,Fire/Explosion - Fire,,DENARIUS,8333673,Fishing vessel - Trawler,0,0,
09/04/2012,Very serious,"Collision - With other ship,Collision - With other ship",,"Lady Ozge,P¨¨re Milo",9499553,"Fishing vessel - Trawler - Stern,Cargo ship - Liquid Cargo - Chemical tanker",0,0,
03/04/2012,Very serious,Grounding/stranding - Power,,Carrier,8504959,Cargo ship - Solid Cargo - General Cargo,0,0,YES
27/03/2012,Very serious,Damage / loss of equipment,,ANNA M?RSK,9260421,Cargo ship - Solid Cargo - Container Ship,1,1,
13/01/2012,Very serious,"Capsizing/Listing - Listing,Capsizing/Listing - Capsizing,Grounding/stranding - Drift,Capsizing/Listing - Listing,Grounding/stranding - Power,Loss of control - Loss of directional control,Loss of control - Loss of propulsion power,Loss of control - Loss of electrical power,Flooding/Foundering - Flooding - Massive",,COSTA CONCORDIA,9320544,Passenger ship - Only passenger - International,32,17,
23/12/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"NORDIC STANI,PR?CTICOS AROSA DOS",9483671,"Service ship - Other,Cargo ship - Solid Cargo - Container Ship",1,1,
16/12/2011,Very serious,Grounding/stranding - Drift,,TK BREMEN,8113487,Cargo ship - Solid Cargo - General Cargo,0,0,YES
27/11/2011,Very serious,"Flooding/Foundering - Flooding,Hull failure,Flooding/Foundering - Foundering",,Swanland,7607431,Cargo ship - Solid Cargo - General Cargo,6,0,
01/11/2011,Very serious,"Collision - Ship not underway,Collision - With other ship",,"Golub,JOERG N",9508603,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Trawler - Stern",,,
05/10/2011,Very serious,"Collision - With other ship,Flooding/Foundering - Foundering,Collision - With other ship,Capsizing/Listing - Capsizing",,"ESTESKY,TABAR",9116034,"Fishing vessel,Cargo ship - Solid Cargo - General Cargo",1,0,
20/09/2011,Very serious,"Flooding/Foundering - Flooding - Massive,Fire/Explosion - Fire",,P¨¨re Briant,7363035,Fishing vessel - Seiner - Tuna purse seiners,0,0,YES
15/09/2011,Very serious,"Loss of control - Loss of propulsion power,Capsizing/Listing - Listing,Flooding/Foundering - Flooding,Loss of control - Loss of electrical power,Fire/Explosion - Fire,Contact - Shore object",,Nordlys,9048914,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,2,9,YES
10/09/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"GOLDEN TRADER,VIDAR",9041459,"Cargo ship - Solid Cargo - Bulk Carrier,Fishing vessel - Trawler - Beam",0,0,YES
06/09/2011,Very serious,Fire/Explosion - Explosion,,Clipper Sund,9375977,Cargo ship - Liquid Cargo - Chemical tanker,1,0,
12/08/2011,Very serious,"Collision - With other ship,Collision - With other ship,Capsizing/Listing - Capsizing",,"Chiefton,Skyline Barge 19",9600695,"Service ship - Tug (Towing/Pushing),Service ship - Other",1,0,
22/07/2011,Very serious,Capsizing/Listing - Capsizing,,UNION NEPTUNE,8416803,Cargo ship - Solid Cargo - General Cargo,0,0,
26/06/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"LILLY,FRANK W",9374674,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Trawler",0,0,YES
19/06/2011,Very serious,Damage / loss of equipment,,ALLURES,9094755,Recreational craft - Sailboat (aux. motor),1,0,
12/10/2020,Serious,Grounding/stranding - Drift,,HEIN SENIOR,9092642,Fishing vessel,0,0,
23/09/2020,Serious,"Collision - With other ship,Collision - With other ship",,"RFS KAZANETS 311,ICE ROSE",8311106,"Navy ship,Cargo ship - Solid Cargo - Refrigerated Cargo",0,0,
05/09/2020,Serious,Grounding/stranding - Power,,SAGAFJORD,7943079,Passenger ship - Only passenger,0,0,
05/06/2020,Serious,Grounding/stranding - Power,,KARLSO,8705890,Fishing vessel,0,0,
08/05/2020,Serious,Damage / loss of equipment,,MOUNT EVEREST,9470985,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
01/05/2020,Serious,Damage / loss of equipment,,FT STURLA,9447287,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
01/04/2020,Serious,Damage / loss of equipment,,TORM MAREN,9358400,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,3,
19/03/2020,Serious,Fire/Explosion - Fire,,DC VLAANDEREN 3000,9250373,Service ship - Dredger,0,0,
17/02/2020,Serious,Damage / loss of equipment,,SICHEM MANILA,9322097,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
11/12/2019,Serious,Grounding/stranding - Drift,,Sea Eagle,9830135,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
24/11/2019,Serious,Grounding/stranding - Power,,LA BELLE DES OCEANS,8800195,Passenger ship - Only passenger,0,0,
21/11/2019,Serious,Fire/Explosion - Fire,,EUROCARGO TRIESTE,9131515,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
12/10/2019,Serious,Grounding/stranding - Power,,SEASURFER,9763033,Cargo ship - Liquid Cargo - Liquified gas tanker - LNG - Type 2G,0,0,
28/09/2019,Serious,Contact - Shore object,,ARAMIS,9281592,Cargo ship - Solid Cargo - General Cargo,0,2,
09/07/2019,Serious,Fire/Explosion - Fire,,PETER PAN,9217242,Passenger ship - Passenger and Ro-Ro cargo,0,0,
10/05/2019,Serious,Damage / loss of equipment,,ALYARMOUK,9356438,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,1,
10/05/2019,Serious,"Collision - With other ship,Collision - With other ship",,"EXPRESS 1,BALTIC CONDOR",9501590,"Passenger ship - Only passenger - International,Passenger ship - Passenger and Ro-Ro cargo",0,2,
08/05/2019,Serious,Grounding/stranding - Power,,SEATRUCK PERFORMANCE,9506227,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
19/04/2019,Serious,Grounding/stranding - Power,,APL DANUBE,9674517,Cargo ship - Solid Cargo - Container Ship,0,0,
12/04/2019,Serious,"Grounding/stranding - Drift,Loss of control - Loss of directional control",,Skarven,9436630,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class D,0,0,
