Date of occurrence,Occurrence severity,Occurrence with ship(s),IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution,Age On Casualty,Length overall,Flag State,Sea area of occurrence,Wind force,Sea state,Natural light,Visibility,Weather conditions,bad weather,Education,Inappropriate behavior,Equipment
2015,1,2,9179995,1,0,0,0,16,99.9,CYPRUS,Territorial sea,2,3,Twilight,Good,Clear,0,1,1,
2015,1,3,7424580,6,1,0,0,40,32.39,GERMANY,Open sea - Outside EEZ,5,,Night,,,1,1,1,1
2015,1,7,9314038,6,0,0,0,11,18.6,UNITED KINGDOM,Open sea - Within EEZ,7,6,Night,Good,Clear,1,,,
2015,1,0,9085895,3,1,0,0,18,143.5,MALTA,Internal waters - Port area,2,2,Night,Good,Clear,0,,,1
2015,1,4,9264312,1,0,0,0,12,186.35,ITALY,Open sea - Within EEZ,4,4,Daylight,Good,Clear,1,1,,
2015,1,7,9174098,0,0,0,0,15,99.95,LUXEMBOURG,Internal waters - Port area,5,4,Twilight,Good,Rain,2,1,1,1
2015,1,3,9329095,1,1,0,0,10,85.16,GREECE,Internal waters - Port area,2,1,Daylight,Very good,Overcast,0,1,1,1
2015,1,7,9205031,6,0,0,1,16,30.7,SPAIN,Open sea - Outside EEZ,0,0,Night,Good,,0,1,1,
2015,1,6,8223127,4,0,0,0,32,74.91,SAINT VINCENT AND THE GRENADINES,Territorial sea,8,5,Night,Good,Clear,1,,1,1
2015,1,6,9076404,3,0,0,1,21,165.5,CYPRUS,Territorial sea,12,9,Night,Very poor,Snow,2,,1,1
2015,1,6,8406494,6,0,0,0,30,24,NORWAY,Territorial sea,5,4,Night,Good,Overcast,1,,1,
2015,1,5,8403569,3,8,0,0,31,83.19,CYPRUS,Territorial sea,9,8,Daylight,Good,Clear,2,1,1,1
2020,0,6,9092642,6,0,0,0,20,23.99,BELGIUM,Territorial sea,4,4,Night,,,1,,,1
2020,0,2,8311106,0,0,0,0,35,144.63,MARSHALL ISLANDS,Territorial sea,,,,,,1,,1,1
2020,0,6,7943079,7,0,0,0,63,38.74,DENMARK,Internal waters - Port area,,1,Daylight,Moderate,,0,,,
2020,0,6,8705890,6,0,0,0,33,25.66,SWEDEN,Internal waters - Archipelago fairway,5,3,Night,,,1,,1,1
2020,0,0,9470985,2,0,1,0,10,184.32,LIBERIA,Internal waters - Port area,3,3,Daylight,Good,Clear,0,1,1,1
2020,0,0,9447287,2,0,1,0,11,119.86,MALTA,Internal waters - Port area,4,1,Daylight,Good,Rain,2,1,,
